features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"above_3,count_5",Categorical,0.5157076923076924,0.08061605842349058,0.5797299769948946,0.08536509129595916,0.0,0.00392815066492147,0.0
"above_4,above_5",Categorical,0.6183076923076923,0.08364209466530594,0.6647103292632467,0.08160843231812023,0.1,0.09087927458527156,0.0
"above_4,count_3",Categorical,0.5938923076923077,0.08660826723045971,0.6434758947276421,0.08688920110767831,0.04,0.0580295250287407,0.0
"above_4,count_5",Categorical,0.6183076923076923,0.08364209466530594,0.6647103292632467,0.08160843231812023,0.1,0.09087927458527156,0.0
"above_5,count_3",Categorical,0.5723384615384615,0.07813354672776832,0.6364348298745077,0.08331749386136811,0.02,0.021803602062053784,0.0
"above_5,count_5",Categorical,0.5319230769230769,0.07651163039563864,0.535085593395635,0.1328931629127188,0.0,0.0048148901690111545,0.0
"count_3,count_5",Categorical,0.5723384615384615,0.07813354672776832,0.6364348298745077,0.08331749386136811,0.02,0.021803602062053784,0.0
"X1,X3,X5",Categorical,0.5907846153846154,0.07658402045694071,0.6348130946991559,0.08164791765261434,0.04,0.034546402792022035,0.0
"X1,X3,above_3",Categorical,0.5614615384615385,0.07543212788434227,0.6188312773679248,0.07604599052880183,0.01,0.01273147046551304,0.0
"X1,X3,above_4",Categorical,0.6475230769230769,0.08018702841873628,0.6855832519672223,0.07588228956290133,0.1,0.1518439649582186,0.0
"X1,X3,above_5",Categorical,0.6008615384615384,0.07672939308578956,0.6373267331977293,0.08107847231280989,0.04,0.046183896390974755,0.0
"X1,X3,count_3",Categorical,0.6048153846153845,0.07957867009273158,0.6556156785450026,0.08361672372510438,0.04,0.05784869149268712,0.0
"X1,X3,count_5",Categorical,0.6008615384615384,0.07672939308578956,0.6373267331977293,0.08107847231280989,0.04,0.046183896390974755,0.0
"X1,X5,above_3",Categorical,0.5777538461538463,0.074062637811022,0.6227765960403433,0.07990708916741938,0.02,0.019908593083128423,0.0
"X1,X5,above_4",Categorical,0.634523076923077,0.07840671387748047,0.6776284137556852,0.07670482315688373,0.1,0.1116664104862295,0.0
"X1,X5,above_5",Categorical,0.6150307692307693,0.07796307880532126,0.6489963536143071,0.07756817048194356,0.06,0.07015164777171845,0.0
"X1,X5,count_3",Categorical,0.6072153846153846,0.07366956289432848,0.6461174394990437,0.07801432285106641,0.06,0.047787637443613584,0.0
"X1,X5,count_5",Categorical,0.6150307692307693,0.07796307880532126,0.6489963536143071,0.07756817048194356,0.06,0.07015164777171845,0.0
"X1,above_3,above_4",Categorical,0.6430615384615385,0.07262564953523103,0.6926981759432063,0.07439807252588058,0.09,0.11563836077638667,0.0
"X1,above_3,above_5",Categorical,0.6107230769230769,0.07386969336360574,0.6384679813373567,0.07724595580848978,0.06,0.05318852921189943,0.0
"X1,above_3,count_3",Categorical,0.5850461538461539,0.07757327667720289,0.6342967997722848,0.08279207009038964,0.02,0.030838864761081886,0.0
"X1,above_3,count_5",Categorical,0.6107230769230769,0.07386969336360574,0.6384679813373567,0.07724595580848978,0.06,0.05318852921189943,0.0
"X1,above_4,above_5",Categorical,0.6247230769230768,0.07816119135683339,0.6530610699391581,0.08170686920231462,0.07,0.08900289418542395,0.0
"X1,above_4,count_3",Categorical,0.6585538461538463,0.07933385974333498,0.700128644830676,0.07718311147983584,0.16,0.183906954364631,0.0
"X1,above_4,count_5",Categorical,0.6247230769230768,0.07816119135683339,0.6530610699391581,0.08170686920231462,0.07,0.08900289418542395,0.0
"X1,above_5,count_3",Categorical,0.6231692307692307,0.07931685241437078,0.6460709350284324,0.08545447190098773,0.08,0.08900845292587589,0.0
"X1,above_5,count_5",Categorical,0.6199076923076923,0.08423827012614964,0.6491637192350604,0.0824106714407642,0.08,0.09562069200156442,0.0
"X1,count_3,count_5",Categorical,0.6231692307692307,0.07931685241437078,0.6460709350284324,0.08545447190098773,0.08,0.08900845292587589,0.0
"X3,X5,above_3",Categorical,0.5422461538461539,0.0875843924384737,0.5993296102440197,0.08919616102726247,0.01,0.016028839564667274,0.0
"X3,X5,above_4",Categorical,0.586446153846154,0.08099227664252712,0.649260397108634,0.08083889060210997,0.0,0.03816088059290457,0.0
"X3,X5,above_5",Categorical,0.5688923076923076,0.07857324777729498,0.5913144808991727,0.09426096432437854,0.02,0.020162020953144566,0.0
"X3,X5,count_3",Categorical,0.5622615384615385,0.08436815771073207,0.6223700351871247,0.0931733221293812,0.02,0.023396300759250255,0.0
"X3,X5,count_5",Categorical,0.5688923076923076,0.07857324777729498,0.5913144808991727,0.09426096432437854,0.02,0.020162020953144566,0.0
"X3,above_3,above_4",Categorical,0.5392923076923077,0.0832691280866306,0.6067487734115626,0.09504294377132347,0.0,0.011003215346393924,0.0
"X3,above_3,above_5",Categorical,0.5181230769230769,0.07335431724164683,0.5669735097710085,0.08167317926516988,0.0,0.0019360093530319533,0.0
"X3,above_3,count_3",Categorical,0.5682923076923077,0.08403462092966742,0.6416705121331405,0.08675139806836635,0.02,0.027158591261060683,0.0
"X3,above_3,count_5",Categorical,0.5181230769230769,0.07335431724164683,0.5669735097710085,0.08167317926516988,0.0,0.0019360093530319533,0.0
"X3,above_4,above_5",Categorical,0.5738923076923078,0.08405336569123016,0.6238815728049903,0.09376047690026143,0.04,0.0316381534318223,0.0
"X3,above_4,count_3",Categorical,0.5692615384615385,0.0812089073145239,0.6393089273583177,0.08558395220369984,0.01,0.023889961967821893,0.0
"X3,above_4,count_5",Categorical,0.5738923076923078,0.08405336569123016,0.6238815728049903,0.09376047690026143,0.04,0.0316381534318223,0.0
"X3,above_5,count_3",Categorical,0.5528,0.0826713404545032,0.5979252561039329,0.09595424729427955,0.0,0.01603940537018711,0.0
"X3,above_5,count_5",Categorical,0.5284769230769232,0.0758527052873415,0.5516761424401663,0.0977060919379201,0.0,0.003944680092009656,0.0
"X3,count_3,count_5",Categorical,0.5528,0.0826713404545032,0.5979252561039329,0.09595424729427955,0.0,0.01603940537018711,0.0
"X5,above_3,above_4",Categorical,0.5840307692307692,0.08624000636725887,0.6492944051823525,0.0878188729696139,0.02,0.04526648256780974,0.0
"X5,above_3,above_5",Categorical,0.5470769230769231,0.08718123678485686,0.594524699687667,0.10487409212226181,0.0,0.017944041677804834,0.0
"X5,above_3,count_3",Categorical,0.576923076923077,0.07867512407317191,0.6606763791170894,0.07614125205972741,0.04,0.02584636025109821,0.0
"X5,above_3,count_5",Categorical,0.5470769230769231,0.08718123678485686,0.594524699687667,0.10487409212226181,0.0,0.017944041677804834,0.0
"X5,above_4,above_5",Categorical,0.5847230769230769,0.08046323133974385,0.63311870223528,0.08564755020088212,0.06,0.03549769478832343,0.0
"X5,above_4,count_3",Categorical,0.5805384615384616,0.08173021719270582,0.6448425117036891,0.08503116602850705,0.03,0.03372091471723104,0.0
"X5,above_4,count_5",Categorical,0.5847230769230769,0.08046323133974385,0.63311870223528,0.08564755020088212,0.06,0.03549769478832343,0.0
"X5,above_5,count_3",Categorical,0.5594615384615386,0.07890804325251533,0.61272998926561,0.09313476684744586,0.01,0.015338773277595696,0.0
"X5,above_5,count_5",Categorical,0.5480923076923078,0.09083742418814007,0.5572182669889544,0.13036312473475092,0.02,0.02261209098320993,0.0
"X5,count_3,count_5",Categorical,0.5594615384615386,0.07890804325251533,0.61272998926561,0.09313476684744586,0.01,0.015338773277595696,0.0
"above_3,above_4,above_5",Categorical,0.6035846153846154,0.08610824479970083,0.6561774260281219,0.08364900324289114,0.07,0.07103873514571912,0.0
"above_3,above_4,count_3",Categorical,0.5671846153846154,0.08150537935563103,0.6288196703424301,0.0921034490072239,0.03,0.022879862672810503,0.0
"above_3,above_4,count_5",Categorical,0.6035846153846154,0.08610824479970083,0.6561774260281219,0.08364900324289114,0.07,0.07103873514571912,0.0
"above_3,above_5,count_3",Categorical,0.5548307692307692,0.08424830024798458,0.6254331278723566,0.0880901072027685,0.01,0.018799395923983386,0.0
"above_3,above_5,count_5",Categorical,0.5263692307692308,0.07731898731111633,0.5445283064474228,0.10959094955368474,0.0,0.00422368711301957,0.0
"above_3,count_3,count_5",Categorical,0.5548307692307692,0.08424830024798458,0.6254331278723566,0.0880901072027685,0.01,0.018799395923983386,0.0
"above_4,above_5,count_3",Categorical,0.6009692307692308,0.07436569005924819,0.6524585127834286,0.07430077938643136,0.04,0.041362904083101504,0.0
