features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,avg_acc_above_73
"X1,X6,F_w_mean,above_5",7,0.6674153846153849,0.1062381783190222,0.7174224213705881,0.092286813003716,0.33,0.2778980294756265
"X1,X6,F_w_mean,above_5",8,0.6570615384615384,0.1079011370867581,0.6878526218467433,0.1024807457191061,0.28,0.24952828716783126
"X1,X6,F_w_mean,above_5",9,0.6552307692307692,0.0935294783135748,0.7096049413665017,0.0783619992812571,0.21,0.21202378336336647
"X1,X6,F_w_mean,above_5",10,0.6464769230769231,0.0953350479149549,0.687090969959851,0.0845185122839269,0.18,0.19048771823155486
"X1,X6,F_w_mean,above_5",11,0.6422307692307692,0.0898185877100328,0.7030982032812417,0.0737818033236797,0.12,0.16423918825105643
"X1,X6,F_w_mean,above_5",12,0.6450307692307692,0.0893598151746484,0.6918971852637052,0.0768282027513455,0.17,0.17083614271607428
"X1,X6,F_w_mean,above_5",13,0.6406923076923077,0.0835350261370401,0.7067302717588042,0.0713925783561175,0.14,0.14251123826920242
"X1,X6,F_w_mean,above_5",14,0.6302153846153846,0.0913197179560579,0.6855970796306334,0.0842388843901023,0.15,0.13726382901742717
"X1,X6,F_w_mean,above_5",15,0.6248307692307692,0.0834189597168214,0.700003006329685,0.0699431847677537,0.13,0.10370210793479084
"X1,X6,above_4,above_5",1,0.6378461538461538,0.0859803197517628,0.6720068730197047,0.0928646631994333,0.14,0.14190457225776987
"X1,X6,above_4,above_5",2,0.5584153846153845,0.0875868340055984,0.5025390484728018,0.1369933123611202,0.04,0.025055051277037554
"X1,X6,above_4,above_5",3,0.646676923076923,0.082918715455445,0.6868440459883878,0.0830232207867103,0.15,0.15747813649152853
"X1,X6,above_4,above_5",4,0.6437230769230768,0.0809871580147964,0.6475827909565948,0.0966383688727572,0.13,0.14336645543403082
"X1,X6,above_4,above_5",5,0.653153846153846,0.083275084178705,0.6977423714282501,0.0796093824386613,0.16,0.17805601407697957
"X1,X6,above_4,above_5",6,0.6261846153846153,0.0914273352621418,0.6476275869906668,0.0970038303487704,0.11,0.1280837529623533
"X1,X6,above_4,above_5",7,0.6306461538461537,0.086416818437592,0.6955634580592459,0.0740832564750219,0.13,0.12513270211901162
"X1,X6,above_4,above_5",8,0.6174,0.082328450293994,0.6616951131942271,0.0818838376495368,0.08,0.08570418188654205
"X1,X6,above_4,above_5",9,0.6254461538461539,0.0817145906159152,0.7009942862373832,0.0665801933508059,0.06,0.1003604606748969
"X1,X6,above_4,above_5",10,0.6313692307692307,0.0869555813970252,0.6952120712222266,0.0737524041616979,0.1,0.12834146975723915
"X1,X6,above_4,above_5",11,0.621476923076923,0.0860556913390062,0.7042747207328606,0.0699345413075038,0.11,0.10364008460206753
"X1,X6,above_4,above_5",12,0.619523076923077,0.0896614790665554,0.690393319498434,0.0784612773707831,0.09,0.10894542112895755
"X1,X6,above_4,above_5",13,0.6138615384615383,0.078188210191932,0.7026290798524467,0.0643302796141779,0.04,0.06872285173731352
"X1,X6,above_4,above_5",14,0.6206153846153846,0.0910880970276487,0.6949862834945584,0.075621202455506,0.12,0.11490155698899329
"X1,X6,above_4,above_5",15,0.6032615384615384,0.0791640585473008,0.6966202963090791,0.0645885293719238,0.06,0.05469293090964311
"X1,mean,F_w_mean,above_4",1,0.5462923076923076,0.092183017085867,0.5919527128017081,0.098475731308858,0.03,0.02313848188325085
"X1,mean,F_w_mean,above_4",2,0.5596,0.0924892112691174,0.5077636338259779,0.1337935639182156,0.05,0.032710008366508836
"X1,mean,F_w_mean,above_4",3,0.604476923076923,0.0848246628755615,0.6507687410121189,0.0870233302689726,0.1,0.06946403691570124
"X1,mean,F_w_mean,above_4",4,0.5989999999999999,0.0839544466507047,0.5914073279265317,0.1072292799074503,0.05,0.05933623489924267
"X1,mean,F_w_mean,above_4",5,0.6150153846153846,0.0772994239742157,0.6667887012340181,0.0790200047790687,0.08,0.06843846163272804
"X1,mean,F_w_mean,above_4",6,0.6079538461538462,0.0936623812253603,0.6240768258405972,0.1040004682477211,0.12,0.0962799613479417
"X1,mean,F_w_mean,above_4",7,0.6202,0.0869791935944637,0.680679543121958,0.0828827322258911,0.1,0.10340768364332642
"X1,mean,F_w_mean,above_4",8,0.6015076923076923,0.0900264208424623,0.6322463349226313,0.0966112452799679,0.06,0.0767505652765672
"X1,mean,F_w_mean,above_4",9,0.6153846153846154,0.0811634336298057,0.6814481746999363,0.0769438976798142,0.08,0.07895209832533734
"X1,mean,F_w_mean,above_4",10,0.6050461538461538,0.0872973779064933,0.643563358259371,0.0945266253283162,0.09,0.07616374419597383
"X1,mean,F_w_mean,above_4",11,0.6047692307692307,0.0741367679025029,0.6729062145486735,0.0752616858566746,0.04,0.045591922912734395
"X1,mean,F_w_mean,above_4",12,0.6065846153846153,0.0848519992407246,0.651121580194598,0.0886763842207044,0.05,0.0729068841348457
"X1,mean,F_w_mean,above_4",13,0.6113846153846153,0.0740663384082614,0.6771819640920931,0.0750277368815189,0.04,0.0546358834361752
"X1,mean,F_w_mean,above_4",14,0.6022,0.0899591636480706,0.6471141184456383,0.0944622846201389,0.08,0.07771005291719824
"X1,mean,F_w_mean,above_4",15,0.6025384615384615,0.0821216805368788,0.6689323261736188,0.0807192869983643,0.05,0.06031845260203783
"X1,mean,F_w_mean,above_5",1,0.6014153846153847,0.082824025328389,0.6298745314190414,0.0890051973481407,0.04,0.06027086016660177
"X1,mean,F_w_mean,above_5",2,0.540446153846154,0.0857593426518126,0.4789286841064282,0.1227645738021744,0.01,0.013542186005065404
"X1,mean,F_w_mean,above_5",3,0.6137999999999999,0.0888758072392371,0.6622526806190947,0.0830007990862821,0.09,0.09553125016160968
"X1,mean,F_w_mean,above_5",4,0.6232307692307691,0.0916358886827347,0.6217258542563016,0.1067033544230417,0.15,0.12197985786880072
"X1,mean,F_w_mean,above_5",5,0.6410615384615385,0.0873083890178911,0.6831007792156647,0.0857241923668914,0.14,0.15417976208429396
"X1,mean,F_w_mean,above_5",6,0.6521230769230769,0.0937452875344208,0.6688096558665694,0.0986984891478524,0.19,0.20306338765872023
"X1,mean,F_w_mean,above_5",7,0.6392615384615384,0.0900525763589012,0.6893163544274202,0.0834030166495363,0.16,0.1568193030463625
"X1,mean,F_w_mean,above_5",8,0.6494,0.0885327860240681,0.6749301016051671,0.0899018266123645,0.2,0.1813065384327246
"X1,mean,F_w_mean,above_5",9,0.6164615384615384,0.0854062342693494,0.6753614232855629,0.0797108981063938,0.05,0.09185915074054796
"X1,mean,F_w_mean,above_5",10,0.6283538461538462,0.0902376231904035,0.6643716016153602,0.0893735995602653,0.12,0.12999227429489024
"X1,mean,F_w_mean,above_5",11,0.6193076923076923,0.0857063584669002,0.6777351224608259,0.0797939553384728,0.06,0.09826003112712611
"X1,mean,F_w_mean,above_5",12,0.6240153846153846,0.0876250470798141,0.6629048086557012,0.0840351986846338,0.07,0.11323075887483425
"X1,mean,F_w_mean,above_5",13,0.6192307692307693,0.086117162519868,0.6784305458141452,0.07968934016072,0.06,0.09917582574618078
"X1,mean,F_w_mean,above_5",14,0.6182923076923076,0.090298622267629,0.6580170626348371,0.0920122073694971,0.11,0.10802648714795482
"X1,mean,F_w_mean,above_5",15,0.6065076923076923,0.089942218137815,0.6716685481549491,0.0827181319746496,0.06,0.08487333534181163
"X1,mean,above_4,above_5",1,0.5944,0.0906354999222371,0.6279627373620348,0.093816604711891,0.08,0.06731347042994884
"X1,mean,above_4,above_5",2,0.5316307692307694,0.0888773691417681,0.4717234805239753,0.1339569301832097,0.02,0.012809361923442175
"X1,mean,above_4,above_5",3,0.6021384615384615,0.0803362445559232,0.6386593538154117,0.0894678590002936,0.04,0.05573958373185994
"X1,mean,above_4,above_5",4,0.5987538461538462,0.0823847791422634,0.5854880507353986,0.1078594976565274,0.05,0.055570292445653924
"X1,mean,above_4,above_5",5,0.6336923076923077,0.0704230664201983,0.6839730486063487,0.0687268641879755,0.06,0.08572509204306822
"X1,mean,above_4,above_5",6,0.6202153846153846,0.0889435749597868,0.6340296751862613,0.1051976531915374,0.1,0.10854229969720097
"X1,mean,above_4,above_5",7,0.6310615384615383,0.0782103656926314,0.6885273654485942,0.0777151859505168,0.04,0.10293028093339962
"X1,mean,above_4,above_5",8,0.622523076923077,0.0844382817918073,0.6547297097830375,0.0875617350643057,0.11,0.10153636009592504
"X1,mean,above_4,above_5",9,0.6378153846153846,0.0792375441464894,0.7034566747275665,0.0706636493253378,0.12,0.12233450372950827
"X1,mean,above_4,above_5",10,0.6384615384615384,0.0859461782869382,0.6793200156148886,0.0816560669437039,0.14,0.1434227444484517
"X1,mean,above_4,above_5",11,0.6349384615384615,0.0809009314535943,0.7047371428523388,0.0690960514822247,0.11,0.11999007864824307
"X1,mean,above_4,above_5",12,0.6339538461538461,0.0844522217083676,0.6802984558492853,0.0774091283458264,0.1,0.1277098070946946
"X1,mean,above_4,above_5",13,0.6282,0.0801540100396966,0.7008931005580152,0.0698112843246174,0.14,0.10203252241860605
"X1,mean,above_4,above_5",14,0.6284307692307692,0.0862023160358283,0.6798451675566852,0.0825412146254779,0.12,0.1193453521461375
"X1,mean,above_4,above_5",15,0.6280461538461538,0.0736178699041935,0.7011489014918996,0.0629840919888387,0.08,0.0830405719727173
"X1,F_w_mean,above_4,above_5",1,0.5854923076923076,0.0962490003021932,0.6249720795239885,0.0951224371889109,0.03,0.06662681456862651
"X1,F_w_mean,above_4,above_5",2,0.5898461538461539,0.0847509403693618,0.5401087085440139,0.1141994933693535,0.04,0.04909278292142605
"X1,F_w_mean,above_4,above_5",3,0.6234923076923077,0.0783890630579329,0.6590026180595234,0.0754327518769867,0.09,0.08711988099475287
"X1,F_w_mean,above_4,above_5",4,0.6271384615384615,0.0920749681689524,0.6117715707916433,0.1134830680656552,0.15,0.13196512587325748
"X1,F_w_mean,above_4,above_5",5,0.6109230769230769,0.0863126284067702,0.6571229065718219,0.0861769236772567,0.09,0.083854881380937
