features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"above_3,count_5",Complement,0.5712615384615385,0.08330307679521984,0.5869012721217368,0.09263881362614347,0.04,0.028354086242511012,0.0
"above_4,above_5",Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"above_4,above_5",Complement,0.5393846153846155,0.08629932771752653,0.5509681279278078,0.09183887407915087,0.03,0.013595313882311166,0.0
"above_4,count_3",Multinomial,0.6195692307692308,0.06063337491717044,0.7121318330775048,0.04896146944636377,0.06,0.03428163112417604,0.0
"above_4,count_3",Complement,0.5715076923076923,0.08537823399577135,0.591917505093043,0.09891095470524498,0.03,0.03170149042227888,0.0
"above_4,count_5",Multinomial,0.5476769230769232,0.02917443559535802,0.7047999781157677,0.021607857233562126,0.0,2.0599999484005593e-10,0.0
"above_4,count_5",Complement,0.5386,0.08641063242709025,0.5508507157237715,0.09171105459221529,0.03,0.013379853866272495,0.0
"above_5,count_3",Multinomial,0.5869384615384616,0.07220172103703665,0.6814049567698226,0.06368893171088963,0.03,0.023772403353981786,0.0
"above_5,count_3",Complement,0.5780923076923077,0.09526347642632198,0.5367790459287091,0.14613725075340842,0.07,0.05540020707827786,0.0
"above_5,count_5",Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"above_5,count_5",Complement,0.5952153846153847,0.08129568938403829,0.6604136898857405,0.07337616697727316,0.03,0.048663249096351446,0.0
"count_3,count_5",Multinomial,0.5939076923076922,0.08161126503051927,0.6185284867895329,0.0843982539368981,0.03,0.047700789560356616,0.0
"count_3,count_5",Complement,0.5940307692307693,0.08964156897095212,0.5842143764100587,0.13662465388935632,0.06,0.0646573271945805,0.0
"above_3,above_4,above_5",Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"above_3,above_4,above_5",Complement,0.568923076923077,0.08606561416052523,0.566925895764604,0.10553198746450734,0.03,0.03063378121859628,0.0
"above_3,above_4,count_3",Multinomial,0.6251692307692307,0.06300691048790417,0.7100320131804954,0.05274423579886383,0.08,0.04807640575302996,0.0
"above_3,above_4,count_3",Complement,0.5715076923076923,0.08537823399577135,0.591917505093043,0.09891095470524498,0.03,0.03170149042227888,0.0
"above_3,above_4,count_5",Multinomial,0.5481692307692309,0.07476691829282466,0.6456876952588915,0.07260412916404266,0.0,0.007508512421460778,0.0
