features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"above_4,count_5",Categorical,0.6158307692307692,0.07248955688916968,0.6670602637968127,0.07322041542037915,0.04,0.05763112209767818,0.0
"above_5,count_3",Categorical,0.5412769230769231,0.07376311196248794,0.5956462926889667,0.09075630963641698,0.0,0.005256209246845667,0.0
"above_5,count_5",Categorical,0.5360615384615385,0.07224787050771399,0.5518007490515465,0.11020410872810274,0.0,0.003633565741680167,0.0
"count_3,count_5",Categorical,0.5412769230769231,0.07376311196248794,0.5956462926889667,0.09075630963641698,0.0,0.005256209246845667,0.0
"X1,X3,X5",Categorical,0.5907846153846154,0.07658402045694071,0.6348130946991559,0.08164791765261434,0.04,0.034546402792022035,0.0
"X1,X3,X6",Categorical,0.5960461538461539,0.07968228478699478,0.638698026671858,0.08593078875018528,0.04,0.04637179836479077,0.0
"X1,X3,above_4",Categorical,0.6203538461538461,0.07837909846970093,0.6662563294842859,0.07825357164352853,0.07,0.08091836202534919,0.0
"X1,X3,above_5",Categorical,0.6064153846153846,0.07341123690649826,0.6468283742851878,0.0780128851294096,0.04,0.046143388061657964,0.0
"X1,X3,count_3",Categorical,0.5888307692307693,0.0767168373702584,0.6442146383224231,0.07911589289602365,0.04,0.032874312103565395,0.0
"X1,X3,count_5",Categorical,0.6064153846153846,0.07341123690649826,0.6468283742851878,0.0780128851294096,0.04,0.046143388061657964,0.0
"X1,X5,X6",Categorical,0.5924,0.07451168686380641,0.6367493235768983,0.07947583527390382,0.02,0.032396028282702716,0.0
"X1,X5,above_4",Categorical,0.6178615384615384,0.07701283839793538,0.6660164891890702,0.07650088676680232,0.06,0.07268236756784985,0.0
"X1,X5,above_5",Categorical,0.6015692307692307,0.07266262479032888,0.6402255254417429,0.07603065534023735,0.03,0.038572748187491124,0.0
"X1,X5,count_3",Categorical,0.5916307692307692,0.07154965007626174,0.6326441167348471,0.07665011808931384,0.0,0.026563259931291827,0.0
"X1,X5,count_5",Categorical,0.6015692307692307,0.07266262479032888,0.6402255254417429,0.07603065534023735,0.03,0.038572748187491124,0.0
"X1,X6,above_4",Categorical,0.6614307692307692,0.09294249797048755,0.7048923636221264,0.09469806171196812,0.24,0.23033023890443882,8.060219158778636e-14
"X1,X6,above_5",Categorical,0.6130615384615385,0.0866831255802133,0.6433905378126493,0.09257015959129304,0.08,0.08866306370874533,0.0
"X1,X6,count_3",Categorical,0.5722307692307692,0.08030308710639067,0.6241360701180013,0.08747500997285323,0.01,0.024726103450573023,0.0
"X1,X6,count_5",Categorical,0.6130615384615385,0.0866831255802133,0.6433905378126493,0.09257015959129304,0.08,0.08866306370874533,0.0
"X1,above_4,above_5",Categorical,0.6103076923076923,0.07495118727126865,0.6464891230917685,0.0775061114421931,0.01,0.05513990004088709,0.0
"X1,above_4,count_3",Categorical,0.6183384615384615,0.08039920515371475,0.6735284861833793,0.0792913127399893,0.06,0.08244088152484819,0.0
"X1,above_4,count_5",Categorical,0.6103076923076923,0.07495118727126865,0.6464891230917685,0.0775061114421931,0.01,0.05513990004088709,0.0
"X1,above_5,count_3",Categorical,0.6098615384615385,0.07707280658437773,0.6420038133653871,0.08214562810215759,0.06,0.059525900746146165,0.0
"X1,above_5,count_5",Categorical,0.6051538461538462,0.08166561203682436,0.6432023635264228,0.08764315812435974,0.03,0.06316344454067424,0.0
"X1,count_3,count_5",Categorical,0.6098615384615385,0.07707280658437773,0.6420038133653871,0.08214562810215759,0.06,0.059525900746146165,0.0
"X3,X5,X6",Categorical,0.5594923076923076,0.08507151325128703,0.6125542656743161,0.09319139395771685,0.0,0.02251968532418236,0.0
"X3,X5,above_4",Categorical,0.5876461538461539,0.07413834980118322,0.6576254222088516,0.07648400240924241,0.01,0.027421952695662943,0.0
"X3,X5,above_5",Categorical,0.5691846153846154,0.08430304731729601,0.5989995333807178,0.09022174210513888,0.02,0.0282223179339276,0.0
"X3,X5,count_3",Categorical,0.5554153846153846,0.08215211176503999,0.6083368600376237,0.09323665240935233,0.01,0.01678752903544789,0.0
"X3,X5,count_5",Categorical,0.5691846153846154,0.08430304731729601,0.5989995333807178,0.09022174210513888,0.02,0.0282223179339276,0.0
"X3,X6,above_4",Categorical,0.6008769230769232,0.07467713701595294,0.6747269313049067,0.07354015903639945,0.02,0.04189699024732085,0.0
"X3,X6,above_5",Categorical,0.5423846153846155,0.08269495523489795,0.5963054264316248,0.0872004270018527,0.0,0.011641323282527538,0.0
"X3,X6,count_3",Categorical,0.5698769230769232,0.0840341378926502,0.6410651843075027,0.08527860401208605,0.02,0.028360623646603744,0.0
"X3,X6,count_5",Categorical,0.5423846153846155,0.08269495523489795,0.5963054264316248,0.0872004270018527,0.0,0.011641323282527538,0.0
"X3,above_4,above_5",Categorical,0.5830000000000001,0.07078507347752727,0.6356295332634571,0.07795649200835841,0.02,0.018914212168489652,0.0
"X3,above_4,count_3",Categorical,0.5997384615384614,0.07712037927427667,0.6716842521680496,0.07503526541227183,0.04,0.04560323238619457,0.0
"X3,above_4,count_5",Categorical,0.5830000000000001,0.07078507347752727,0.6356295332634571,0.07795649200835841,0.02,0.018914212168489652,0.0
"X3,above_5,count_3",Categorical,0.5420153846153846,0.08120532672649865,0.590373710999389,0.08961362111942349,0.01,0.010308392278551293,0.0
"X3,above_5,count_5",Categorical,0.5380153846153847,0.08097900816454602,0.5528188397945353,0.096668317749358,0.01,0.008874940096039063,0.0
"X3,count_3,count_5",Categorical,0.5420153846153846,0.08120532672649865,0.590373710999389,0.08961362111942349,0.01,0.010308392278551293,0.0
"X5,X6,above_4",Categorical,0.6053538461538461,0.07059325277445506,0.6687325879007322,0.07360014112811171,0.03,0.03872351558162812,0.0
