features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
mean,3,0.5381384615384616,0.09045795257152327,0.4997094597087569,0.21027834596398318,0.0,0.016960798386974063,0.0
mean,4,0.5162307692307693,0.08295757096179743,0.38247202846652245,0.25076375375483423,0.0,0.004985257938776799,0.0
mean,5,0.5746461538461538,0.08196968121844354,0.5875814998303774,0.13523012275718926,0.0,0.02902899192717645,0.0
mean,6,0.5531692307692307,0.08218130339206685,0.5240821768478517,0.17717219013364827,0.0,0.01570989153163682,0.0
mean,7,0.5751692307692307,0.0796655791232413,0.5999347019977384,0.1166757179130528,0.01,0.025977345109175487,0.0
mean,8,0.5682923076923077,0.08146989715233371,0.5780829068322273,0.12574993123720535,0.01,0.023579101311219652,0.0
mean,9,0.5875692307692307,0.08288144523653676,0.6382529266448111,0.1050157231494168,0.04,0.04285382051162201,0.0
mean,10,0.5762923076923077,0.08841191785576712,0.6159043352627304,0.11653074305495573,0.04,0.041057817675337005,0.0
mean,11,0.6005230769230768,0.08499111544239205,0.6639512624689639,0.10875842805349659,0.05,0.06382718669931597,0.0
mean,12,0.5789692307692307,0.0890706932855407,0.6271423465043096,0.12202217488988598,0.03,0.04497816762856888,0.0
mean,13,0.6106923076923076,0.08595922385457232,0.6809437822746959,0.10797690848407066,0.06,0.08257509471317181,0.0
mean,14,0.5881384615384614,0.08308840234082188,0.6419107443296699,0.11156005253903473,0.04,0.043877888841053814,0.0
mean,15,0.6190307692307692,0.08574260504280605,0.6956499728621728,0.09869368003739033,0.08,0.09779585496013932,0.0
F_w_mean,1,0.6343076923076922,0.09251195348959797,0.6585317533929075,0.15183300412997,0.17,0.1504797974636537,0.0
F_w_mean,2,0.5949692307692307,0.09521619249691445,0.4920193625750466,0.21194039225396002,0.12,0.07807360171043864,0.0
F_w_mean,3,0.636353846153846,0.09040360651548099,0.6426833843467147,0.14522556111017987,0.13,0.15013199118383835,0.0
F_w_mean,4,0.5925076923076922,0.08896556211593086,0.535438660551614,0.19020499181183664,0.06,0.06111807538939973,0.0
F_w_mean,5,0.6214153846153845,0.09327358245201024,0.6344887354353708,0.13277998751575673,0.1,0.12218123569050021,0.0
F_w_mean,6,0.6134615384615385,0.09134948172075684,0.5991093886018067,0.14847333772448537,0.1,0.10102319202267807,0.0
F_w_mean,7,0.6328461538461538,0.09121465028182425,0.6575027532171466,0.11740581800266799,0.14,0.14341255641135064,0.0
F_w_mean,8,0.6265076923076923,0.0889515139518127,0.6304193724739868,0.126396435478889,0.13,0.12231968281622208,0.0
F_w_mean,9,0.6209384615384614,0.08722572092297401,0.6600523830263064,0.09583911156442546,0.11,0.10558825013169826,0.0
F_w_mean,10,0.6154153846153845,0.09116055931138477,0.6379320450515407,0.1075497380607461,0.12,0.10438517486157739,0.0
F_w_mean,11,0.6047076923076923,0.08418346265517584,0.6543270499762539,0.09612525841573334,0.09,0.0683326719622096,0.0
F_w_mean,12,0.6095076923076923,0.08720604180795416,0.6406347513923527,0.10383225076138766,0.09,0.08353241082106355,0.0
F_w_mean,13,0.5975692307692309,0.0827529809613416,0.6541701572209795,0.08995142879900954,0.07,0.05476445086621651,0.0
F_w_mean,14,0.6035538461538461,0.09013564925306851,0.6420294307181886,0.09313449873839846,0.05,0.08033184843510188,0.0
F_w_mean,15,0.5962923076923077,0.08369799047448784,0.6595099836699514,0.08581387636037523,0.04,0.055076945898206,0.0
above_4,1,0.5391692307692307,0.09767726595284938,0.4033695884957278,0.33420701739254877,0.01,0.025369143799072735,0.0
above_4,2,0.4951692307692308,0.08348050688385762,0.1853680366320751,0.30666975132364205,0.0,0.0024540731081985623,0.0
above_4,3,0.5370153846153847,0.10355133535234802,0.3867028085173688,0.3427121367309873,0.03,0.03118464225245099,0.0
