features,penalty,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X1,mean",,0.5885692307692307,0.07590721679873515,0.6381156498614006,0.0812758930939255,0.01,0.031216656155521827,0.0
"X1,F_w_mean",l1,0.5691076923076923,0.07650491881931709,0.6292943342901443,0.0798038214045832,0.0,0.017731477446649713,0.0
"X1,F_w_mean",l2,0.5710461538461539,0.07376482059489096,0.6262276519806782,0.07880359328051557,0.0,0.015585873132100247,0.0
"X1,F_w_mean",elasticnet,0.5710615384615384,0.07471181556230168,0.6260023408109844,0.07940664372115668,0.0,0.016695350651127483,0.0
"X1,F_w_mean",,0.569076923076923,0.07218041170788322,0.6245890236988667,0.07694508008571316,0.0,0.012891778396234788,0.0
"X1,above_4",l1,0.5902307692307692,0.06883214296624393,0.6604134947135365,0.073486200827472,0.01,0.02114876642316499,0.0
"X1,above_4",l2,0.5914615384615385,0.06897504050754702,0.6611733088722525,0.0717071624947437,0.02,0.022293482676763565,0.0
"X1,above_4",elasticnet,0.5910615384615384,0.06880817861117225,0.6611353582081159,0.07168248190229723,0.02,0.021732472815770287,0.0
"X1,above_4",,0.5914307692307692,0.07258482244728676,0.6577347769175735,0.07572810509972162,0.02,0.02812677650945261,0.0
"X1,above_5",l1,0.6104769230769231,0.07427780733652477,0.6455833656526567,0.07936539227831763,0.02,0.05379332829457728,0.0
"X1,above_5",l2,0.6104461538461539,0.07599853471025944,0.644822393679502,0.07979154479034449,0.03,0.05784699291785156,0.0
"X1,above_5",elasticnet,0.6108461538461538,0.0758370645201249,0.6450503139074223,0.07967449390547056,0.03,0.05807016629013517,0.0
"X1,above_5",,0.6135846153846154,0.07644406393725155,0.6466022396762264,0.08066234430610639,0.04,0.06389395840674794,0.0
"X3,X5",l1,0.5900307692307692,0.08070385046136239,0.6609813327578656,0.07841362874486739,0.02,0.04142744266726217,0.0
"X3,X5",l2,0.5954769230769231,0.08138819826343405,0.6615891357313446,0.0782878232740366,0.03,0.049179955466955305,0.0
"X3,X5",elasticnet,0.5934923076923078,0.08208491922696301,0.6602589927560402,0.0788370431868229,0.03,0.04815564268656425,0.0
"X3,X5",,0.5966769230769231,0.08251941711611537,0.6612965327613466,0.07886670246981262,0.03,0.05308424239949361,0.0
"X3,X6",l1,0.5711538461538461,0.08904765694335025,0.6603082175498662,0.09244666930674122,0.01,0.03722539838295058,0.0
