features,max_depth,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
above_5,3,0.5554307692307693,0.08726168357371031,0.5964465647781132,0.11434954932535359,0.01,0.02272176989922703,0.0
above_5,4,0.5530769230769231,0.08653391441045104,0.5924579972905188,0.11293329890530383,0.01,0.020449529112329667,0.0
above_5,5,0.5530769230769231,0.08653391441045104,0.5924579972905188,0.11293329890530383,0.01,0.020449529112329667,0.0
above_5,6,0.5530769230769231,0.08653391441045104,0.5924579972905188,0.11293329890530383,0.01,0.020449529112329667,0.0
"X1,X3",1,0.6441846153846152,0.08263989895569987,0.662499734046241,0.08584526386345588,0.15,0.14953598391323453,0.0
"X1,X3",2,0.6301846153846153,0.08179141605110508,0.6425306952439245,0.09878457673843623,0.1,0.11116326226400908,0.0
"X1,X3",3,0.6083230769230769,0.0881899764863486,0.6212062513703117,0.09971011255951316,0.1,0.08383739897979281,0.0
"X1,X3",4,0.6134461538461538,0.08308479165015879,0.6330497083482417,0.09480416502802849,0.08,0.08033375521885977,0.0
"X1,X3",5,0.6135384615384616,0.08123018647809613,0.6451684411549045,0.08655661388916829,0.09,0.07582574766990902,0.0
"X1,X3",6,0.6344461538461538,0.0827154228873428,0.6723120091817644,0.0844164500063045,0.14,0.1240018182196454,0.0
"X1,X6",1,0.6413384615384615,0.08536913373159434,0.6634428006539628,0.08500890321962909,0.15,0.14950315262502323,0.0
"X1,X6",2,0.6286,0.07782215957367195,0.6599218437334616,0.08520804374164626,0.1,0.09629236866905866,0.0
"X1,X6",3,0.6094769230769231,0.07632187213165355,0.6582149964433007,0.07921471913766291,0.05,0.057151740277638696,0.0
"X1,X6",4,0.6215538461538461,0.07253890855560118,0.6760424611113656,0.07840173545311269,0.03,0.0674563476046165,0.0
"X1,X6",5,0.6551846153846154,0.0823928114862904,0.7195603986957502,0.08209383258758748,0.18,0.18193041642864283,0.0
"X1,X6",6,0.6551846153846154,0.0823928114862904,0.7195603986957502,0.08209383258758748,0.18,0.18193041642864283,0.0
"X1,mean",1,0.6018923076923077,0.08653127628290205,0.6037754266020768,0.13632331994685645,0.07,0.06937279992975987,0.0
"X1,mean",2,0.5979846153846154,0.07760579951487642,0.6021536427182823,0.10719341475661417,0.04,0.04446191306132896,0.0
"X1,mean",3,0.6519384615384616,0.08816555701512344,0.6766546309523673,0.10919358055973864,0.21,0.18797121752297064,0.0
"X1,mean",4,0.6606615384615384,0.07196851875860509,0.6754000653199087,0.085548709059811,0.17,0.16765950570787513,0.0
"X1,mean",5,0.6901230769230768,0.07977814800688397,0.7028325393209408,0.09044351434830811,0.32,0.3085911634703712,2.889246221160491e-07
"X1,mean",6,0.6884,0.08069356749034912,0.704433973449139,0.08857979120750487,0.32,0.30309116026725325,1.26608812989204e-07
"X1,F_w_mean",1,0.6177999999999999,0.08017798396334266,0.5538348894266918,0.12091751885016026,0.1,0.08084853472376707,0.0
"X1,F_w_mean",2,0.6030461538461538,0.07634799804011712,0.5708785612149723,0.1164285720278021,0.06,0.04817309768806233,0.0
"X1,F_w_mean",3,0.6179538461538461,0.10929143602389749,0.617987562068891,0.13898035782641632,0.12,0.15263317610499882,0.0
"X1,F_w_mean",4,0.6250769230769231,0.09180310806768785,0.645959999064745,0.1169026073676195,0.1,0.12653710560380405,0.0
"X1,F_w_mean",5,0.6474153846153845,0.09986532469742977,0.6626534193653068,0.11691149530372975,0.19,0.20412990523645536,1.1102230246251565e-16
"X1,F_w_mean",6,0.6569384615384615,0.0909852696316323,0.6766195591674362,0.10250805739048965,0.24,0.2109862017519808,4.440892098500626e-16
"X1,above_4",1,0.6040923076923077,0.08296152098712414,0.6456810102494355,0.08344203327345429,0.06,0.06454959457338905,0.0
"X1,above_4",2,0.6120461538461537,0.08059220306745728,0.6257297702158623,0.09276536104612362,0.06,0.07165316664480958,0.0
"X1,above_4",3,0.5905384615384616,0.07361289281209972,0.6317778254816449,0.08872251933431972,0.02,0.029077614135683327,0.0
"X1,above_4",4,0.5976615384615385,0.07845383974296095,0.6419759728435404,0.08880189977670858,0.03,0.04581781289093034,0.0
"X1,above_4",5,0.5933076923076923,0.07806638807288038,0.6384259496624314,0.09211800851661342,0.03,0.039975092950064184,0.0
"X1,above_4",6,0.5937538461538461,0.0777030670386886,0.6414471654128184,0.09117353433298396,0.04,0.03976492384018082,0.0
"X1,above_5",1,0.6397846153846153,0.08108524844133426,0.6641964373429444,0.08290375586434039,0.13,0.13294029662152318,0.0
"X1,above_5",2,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
"X1,above_5",3,0.6243384615384615,0.09192777715694941,0.6568865306893287,0.1055047788717036,0.1,0.1251960973335149,0.0
"X1,above_5",4,0.6048307692307693,0.08819478710996916,0.6471075152497867,0.09383392511641699,0.08,0.07791508890737076,0.0
"X1,above_5",5,0.5929076923076924,0.07929180472065185,0.6487554470066607,0.0925067071743376,0.04,0.041908184712427854,0.0
"X1,above_5",6,0.5913076923076924,0.07666769144328402,0.6481840184352321,0.09174402697257304,0.03,0.03522504182536612,0.0
"X3,X6",1,0.5666615384615385,0.06587168987226014,0.6393940138501687,0.11205225343692646,0.0,0.006575646864929285,0.0
"X3,X6",2,0.5486615384615385,0.07384091487826495,0.6364251951839036,0.11436470062481231,0.0,0.007028583492081686,0.0
"X3,X6",3,0.5468615384615384,0.06935149132579937,0.6089769372292865,0.07720573979010904,0.0,0.004136398927664708,0.0
"X3,X6",4,0.5379230769230768,0.08302088565909968,0.5926540920942168,0.08644054559214402,0.0,0.010344902314403104,0.0
"X3,X6",5,0.5323692307692307,0.07768238169646642,0.5857826220820683,0.08612921896502906,0.0,0.005478183163462047,0.0
"X3,X6",6,0.5335538461538462,0.07768688328359895,0.5863969821791871,0.08599071374879812,0.0,0.005724432109740274,0.0
"X3,mean",1,0.5669384615384616,0.0699773403730127,0.5477904486916707,0.1402923615338461,0.0,0.009897663183710104,0.0
"X3,mean",2,0.5483230769230769,0.06619358198389017,0.6038351124380713,0.1337980174513749,0.0,0.0030289532930423135,0.0
"X3,mean",3,0.6150615384615384,0.094156434102191,0.6512072822543058,0.11826786101262754,0.07,0.11109638974590852,0.0
"X3,mean",4,0.6179230769230769,0.08466806052681719,0.6513660478860399,0.10631314501849401,0.09,0.09279779531821153,0.0
"X3,mean",5,0.6742153846153848,0.08816287240673319,0.6829209355754163,0.10226575146087169,0.26,0.2634500941095501,1.2462297860338367e-10
"X3,mean",6,0.6721538461538462,0.09085979836308179,0.6867169832874107,0.09248223074667905,0.21,0.2621754807244927,9.667688871672908e-11
"X3,F_w_mean",1,0.6181999999999999,0.07998818107961972,0.5540628096546121,0.1210118031819895,0.1,0.08110061193724172,0.0
"X3,F_w_mean",2,0.5998769230769231,0.07581687061480766,0.5680349751981564,0.11535418189361436,0.06,0.04305528502529088,0.0
"X3,F_w_mean",3,0.6065076923076922,0.09736598557981631,0.6141540544814569,0.1294715491165781,0.06,0.10233986747221546,0.0
"X3,F_w_mean",4,0.6194769230769231,0.09348865576847519,0.6402094337590265,0.1190272258582291,0.11,0.11856150434575063,0.0
"X3,F_w_mean",5,0.6316153846153846,0.09005228592980541,0.6490994858023394,0.11000236869799367,0.14,0.13730061452037723,0.0
"X3,F_w_mean",6,0.6477076923076923,0.09211839436226435,0.6734097704274836,0.09889259712214084,0.19,0.18583970825838647,0.0
"X3,above_4",1,0.5722,0.05666354765752048,0.6841385184516986,0.07699516580908439,0.0,0.002677548842948685,0.0
"X3,above_4",2,0.5694153846153845,0.07333550364369605,0.6610711832094286,0.09767049797483826,0.0,0.01427207874907832,0.0
"X3,above_4",3,0.5906153846153845,0.08275421653927723,0.6795461037437786,0.08772387910707546,0.01,0.046059882155264686,0.0
"X3,above_4",4,0.5842461538461537,0.08616624086664543,0.660210049321056,0.09030454578290235,0.02,0.04536663258467788,0.0
"X3,above_4",5,0.5742615384615385,0.08337690994769495,0.6403325217231387,0.09388236786645278,0.01,0.030889066024068934,0.0
"X3,above_4",6,0.5679538461538463,0.08081655902732898,0.6298919513483107,0.09223501319775454,0.0,0.022475602552409213,0.0
"X3,above_5",1,0.5261692307692308,0.048408760026851336,0.6510152918505412,0.10947517412658889,0.0,1.2733684537580281e-05,0.0
"X3,above_5",2,0.5129692307692308,0.06313065441310758,0.5538110827773469,0.09915471558152603,0.0,0.0002932268171813579,0.0
"X3,above_5",3,0.5070153846153846,0.07572554617297432,0.504346486785441,0.10879525073482735,0.0,0.0016166432747053427,0.0
"X3,above_5",4,0.5244000000000001,0.08685375588449012,0.5133133937843782,0.10776388447886535,0.02,0.008961680940135164,0.0
"X3,above_5",5,0.5380307692307692,0.08283499817756335,0.51406370907951,0.10740303726824267,0.02,0.010238543526909893,0.0
"X3,above_5",6,0.5506307692307693,0.08775223188719153,0.5256311484240428,0.11263069655346822,0.03,0.02047470853122768,0.0
"X6,mean",1,0.5566461538461539,0.06613215386744885,0.549789966799309,0.14104223821093181,0.0,0.0043794401919290404,0.0
"X6,mean",2,0.5348769230769231,0.06505675446696636,0.5953655184006237,0.12905626235008766,0.0,0.0013531160062262293,0.0
"X6,mean",3,0.5877538461538461,0.0942924871667657,0.6269165232980795,0.12457425822587084,0.08,0.06570525248550818,0.0
"X6,mean",4,0.6321384615384615,0.07861700886475036,0.6564651451841783,0.09112736297710519,0.11,0.10660477579259164,0.0
"X6,mean",5,0.6581999999999998,0.07999439477404821,0.6745576929967123,0.09232325809423497,0.15,0.18470931595804663,0.0
"X6,mean",6,0.6829538461538462,0.08755365016265587,0.6942584291897249,0.09707934899380524,0.27,0.29551609243122123,3.8630984411369695e-08
