features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
"X1,X3,X5,X6,mean,above_5",Gaussian,0.5491076923076923,0.08562466049688665,0.5804383580284558,0.09462238670600731,0.0,0.017316684045281194,0.0
"X1,X3,X5,X6,mean,count_3",Gaussian,0.5619384615384616,0.08360221961323967,0.6103725208573507,0.08787420852319289,0.0,0.022202256290109745,0.0
"X1,X3,X5,X6,mean,count_5",Gaussian,0.5491076923076923,0.08562466049688665,0.5804383580284558,0.09462238670600731,0.0,0.017316684045281194,0.0
"X1,X3,X5,X6,F_w_mean,above_4",Gaussian,0.5758000000000001,0.0828743556027318,0.6310947536703624,0.08731712633478905,0.01,0.03139695423600941,0.0
"X1,X3,X5,X6,F_w_mean,above_5",Gaussian,0.5578923076923077,0.0867131993119343,0.5917195585118615,0.09317225640453006,0.01,0.023583790983047415,0.0
"X1,X3,X5,X6,F_w_mean,count_3",Gaussian,0.560723076923077,0.07964639455543779,0.6144670695190099,0.08208515649064238,0.0,0.01677846958574991,0.0
"X1,X3,X5,X6,F_w_mean,count_5",Gaussian,0.5578923076923077,0.0867131993119343,0.5917195585118615,0.09317225640453006,0.01,0.023583790983047415,0.0
"X1,X3,X5,X6,above_4,above_5",Gaussian,0.5542615384615385,0.09449156500973072,0.5905964986513226,0.10278964777489283,0.03,0.03145463034966811,0.0
"X1,X3,X5,X6,above_4,count_3",Gaussian,0.5853076923076923,0.07713520750400811,0.6401253020747387,0.07821200889520269,0.01,0.030339517105334335,0.0
"X1,X3,X5,X6,above_4,count_5",Gaussian,0.5542615384615385,0.09449156500973072,0.5905964986513226,0.10278964777489283,0.03,0.03145463034966811,0.0
"X1,X3,X5,X6,above_5,count_3",Gaussian,0.5484461538461537,0.08398125882790472,0.5795790879699885,0.08749561000915232,0.0,0.015315346644737549,0.0
"X1,X3,X5,X6,above_5,count_5",Gaussian,0.5637692307692308,0.08219053487883285,0.567442156871543,0.09953793980746187,0.02,0.021562102856652277,0.0
"X1,X3,X5,X6,count_3,count_5",Gaussian,0.5484461538461537,0.08398125882790472,0.5795790879699885,0.08749561000915232,0.0,0.015315346644737549,0.0
"X1,X3,X5,mean,F_w_mean,above_4",Gaussian,0.5765076923076924,0.08671407275754715,0.6258483248352562,0.09115809375327844,0.02,0.038355503481596664,0.0
"X1,X3,X5,mean,F_w_mean,above_5",Gaussian,0.5662461538461538,0.08002094991960232,0.5997314546048585,0.0901369383662361,0.03,0.0203591461271867,0.0
"X1,X3,X5,mean,F_w_mean,count_3",Gaussian,0.5670769230769231,0.08247531457832034,0.6169830152834878,0.08618599128287979,0.0,0.024110464906679452,0.0
"X1,X3,X5,mean,F_w_mean,count_5",Gaussian,0.5662461538461538,0.08002094991960232,0.5997314546048585,0.0901369383662361,0.03,0.0203591461271867,0.0
"X1,X3,X5,mean,above_4,above_5",Gaussian,0.5597384615384615,0.09157738151276072,0.5974147804155797,0.09975725603415866,0.01,0.03149872379269869,0.0
"X1,X3,X5,mean,above_4,count_3",Gaussian,0.5876307692307692,0.08089145916399626,0.6388026118436474,0.08350206916242674,0.01,0.03920362803406541,0.0
"X1,X3,X5,mean,above_4,count_5",Gaussian,0.5597384615384615,0.09157738151276072,0.5974147804155797,0.09975725603415866,0.01,0.03149872379269869,0.0
"X1,X3,X5,mean,above_5,count_3",Gaussian,0.5542,0.08624716237506878,0.5839156241530015,0.09804156612981503,0.0,0.020758574210497427,0.0
"X1,X3,X5,mean,above_5,count_5",Gaussian,0.5719846153846154,0.08015201385769287,0.577716729755253,0.09985357682162137,0.02,0.024336429459966502,0.0
"X1,X3,X5,mean,count_3,count_5",Gaussian,0.5542,0.08624716237506878,0.5839156241530015,0.09804156612981503,0.0,0.020758574210497427,0.0
"X1,X3,X5,F_w_mean,above_4,above_5",Gaussian,0.5697384615384615,0.08919443690031625,0.6123817905621951,0.09277681058545305,0.03,0.03618638197182844,0.0
"X1,X3,X5,F_w_mean,above_4,count_3",Gaussian,0.5826153846153845,0.07890838069798858,0.6368522975260205,0.07904984129514707,0.0,0.03089538147691362,0.0
"X1,X3,X5,F_w_mean,above_4,count_5",Gaussian,0.5697384615384615,0.08919443690031625,0.6123817905621951,0.09277681058545305,0.03,0.03618638197182844,0.0
"X1,X3,X5,F_w_mean,above_5,count_3",Gaussian,0.5674615384615384,0.08098224657512923,0.6063674382843023,0.08220801291642864,0.01,0.02237016906886191,0.0
"X1,X3,X5,F_w_mean,above_5,count_5",Gaussian,0.5900153846153846,0.07899531706590711,0.6054727073366114,0.09595383329202734,0.04,0.038192116341278726,0.0
"X1,X3,X5,F_w_mean,count_3,count_5",Gaussian,0.5674615384615384,0.08098224657512923,0.6063674382843023,0.08220801291642864,0.01,0.02237016906886191,0.0
"X1,X3,X5,above_4,above_5,count_3",Gaussian,0.585323076923077,0.08275476567910484,0.6268014236764999,0.0866956685276155,0.0,0.04020942818941742,0.0
"X1,X3,X5,above_4,above_5,count_5",Gaussian,0.5672461538461538,0.08403417028297434,0.5830936241955529,0.10354982432489723,0.01,0.02638747002856412,0.0
"X1,X3,X5,above_4,count_3,count_5",Gaussian,0.585323076923077,0.08275476567910484,0.6268014236764999,0.0866956685276155,0.0,0.04020942818941742,0.0
"X1,X3,X5,above_5,count_3,count_5",Gaussian,0.5724923076923076,0.08392735094524544,0.5732818173401669,0.10504816487220545,0.02,0.030278604168190948,0.0
"X1,X3,X6,mean,F_w_mean,above_4",Gaussian,0.5619076923076924,0.08759917321487114,0.620542272445496,0.08732805245016874,0.01,0.02749975667188931,0.0
"X1,X3,X6,mean,F_w_mean,above_5",Gaussian,0.5524153846153846,0.08498165621762807,0.5872217901502953,0.09317637576220393,0.01,0.01832319910180802,0.0
"X1,X3,X6,mean,F_w_mean,count_3",Gaussian,0.5500153846153846,0.08590086346012632,0.6053190956662733,0.08633045761177746,0.01,0.018073957459595058,0.0
"X1,X3,X6,mean,F_w_mean,count_5",Gaussian,0.5524153846153846,0.08498165621762807,0.5872217901502953,0.09317637576220393,0.01,0.01832319910180802,0.0
"X1,X3,X6,mean,above_4,above_5",Gaussian,0.5277076923076922,0.09074641042992919,0.5694349920180433,0.10356581194492091,0.01,0.012900150194138593,0.0
"X1,X3,X6,mean,above_4,count_3",Gaussian,0.5762461538461539,0.080149068217258,0.639503252281145,0.07995703914281903,0.02,0.02753341718135338,0.0
"X1,X3,X6,mean,above_4,count_5",Gaussian,0.5277076923076922,0.09074641042992919,0.5694349920180433,0.10356581194492091,0.01,0.012900150194138593,0.0
"X1,X3,X6,mean,above_5,count_3",Gaussian,0.5209846153846153,0.08708875157497421,0.5584124562395201,0.09254112504626948,0.01,0.008196923722199378,0.0
"X1,X3,X6,mean,above_5,count_5",Gaussian,0.5521846153846155,0.08184201261934972,0.5560513503955057,0.0985115458107517,0.01,0.014902720101234834,0.0
"X1,X3,X6,mean,count_3,count_5",Gaussian,0.5209846153846153,0.08708875157497421,0.5584124562395201,0.09254112504626948,0.01,0.008196923722199378,0.0
"X1,X3,X6,F_w_mean,above_4,above_5",Gaussian,0.5516153846153845,0.09157772267282491,0.5991735506947673,0.09382559128584197,0.03,0.025713223536962704,0.0
"X1,X3,X6,F_w_mean,above_4,count_3",Gaussian,0.5686923076923077,0.08202478338135004,0.6325420056845148,0.08095809881912641,0.01,0.02461625189417127,0.0
