features,margin,kernel,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X5,0.1,rbf,0.5332923076923078,0.03514939880974341,0.6908645979264674,0.03906715658070019,0.0,1.0946736850314664e-08,0.0
X5,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X5,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X6,100.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,10.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,1.0,rbf,0.6056153846153847,0.06772110401487916,0.7144684939851973,0.05096196997433226,0.04,0.033125719593944836,0.0
X6,0.1,rbf,0.5496923076923078,0.03249797444757545,0.6962573264601128,0.03006659042045412,0.0,1.4425109884363962e-08,0.0
X6,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
X6,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
mean,100.0,rbf,0.4941846153846155,0.0907065181011569,0.5835780745333404,0.11227195378238557,0.0,0.004664417919370223,0.0
mean,10.0,rbf,0.5079076923076925,0.0799414045766052,0.6200341500546235,0.11034230513585493,0.0,0.0027331430770632936,0.0
mean,1.0,rbf,0.5292923076923078,0.06304911957585087,0.6500509490957951,0.08425532348193007,0.0,0.0007278965418542338,0.0
mean,0.1,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
mean,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
mean,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
F_w_mean,100.0,rbf,0.5667692307692308,0.09278058356353734,0.604260561157194,0.10587965278618633,0.05,0.03926155557030797,0.0
F_w_mean,10.0,rbf,0.5640307692307692,0.09389072838006768,0.5881118231808924,0.11159722957898781,0.02,0.038556790779778916,0.0
F_w_mean,1.0,rbf,0.5744769230769231,0.07865559561718093,0.5828370295968062,0.11100121403524693,0.02,0.024005755203639678,0.0
F_w_mean,0.1,rbf,0.5142153846153849,0.05672486070926229,0.6427346594510237,0.08816494179443111,0.0,7.117264119527178e-05,0.0
F_w_mean,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
F_w_mean,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_4,100.0,rbf,0.636076923076923,0.07328032421571129,0.6824028571004083,0.06539786911481832,0.1,0.09997470582747847,0.0
above_4,10.0,rbf,0.636076923076923,0.07328032421571129,0.6824028571004083,0.06539786911481832,0.1,0.09997470582747847,0.0
above_4,1.0,rbf,0.6202,0.06580072300460682,0.6815484580537776,0.062299586996339654,0.03,0.04759093547396043,0.0
above_4,0.1,rbf,0.5441538461538463,0.0242135469931228,0.7027917754365124,0.022205367247867612,0.0,8.215650382226158e-15,0.0
above_4,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_4,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_5,100.0,rbf,0.5547384615384615,0.07408492807614338,0.5979453731710148,0.09405417492192963,0.0,0.008998395875233878,0.0
above_5,10.0,rbf,0.5646153846153846,0.079724080390324,0.6170035985410112,0.1018713689346482,0.0,0.01901818884204176,0.0
above_5,1.0,rbf,0.5726307692307693,0.07056636307500293,0.6423400991772283,0.07880740484968138,0.0,0.01287078595293989,0.0
above_5,0.1,rbf,0.5436923076923078,0.026283839839079667,0.7019008314831743,0.033518926148939525,0.0,6.789013795582832e-13,0.0
above_5,0.01,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_5,0.001,rbf,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"X1,X3",100.0,rbf,0.6210307692307692,0.0744011372948642,0.674877053549005,0.07018072136323872,0.1,0.07151261005022158,0.0
