features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X5,3,0.5221538461538462,0.09552148988361624,0.4665819267686221,0.18365677193073474,0.0,0.014780999844874576,0.0
X5,4,0.5229384615384616,0.0875291586242405,0.3594510351375408,0.2282364249697808,0.0,0.008999729475065,0.0
X5,5,0.5264615384615385,0.08817948345151012,0.4283730327185085,0.20576934705752792,0.0,0.01049319500452528,0.0
X5,6,0.5164923076923077,0.09181640543874668,0.35946411675851125,0.21371720327381258,0.0,0.010025924058647662,0.0
X5,7,0.5327538461538461,0.09327500727552114,0.43653492384628534,0.17772107378428378,0.01,0.01722890697636481,0.0
X5,8,0.530723076923077,0.09341247968524734,0.38807118775973587,0.18862509767349747,0.01,0.016450026936427165,0.0
X5,9,0.5346307692307692,0.09919617643900568,0.4459117411968765,0.1464723435849209,0.02,0.024446485913758087,0.0
X5,10,0.5371230769230769,0.10047170522239511,0.42243008954223105,0.15779684059368215,0.02,0.027447027530173806,0.0
X5,11,0.5256000000000001,0.10041629797701308,0.44895640431814354,0.13980305489802008,0.02,0.020898980250434573,0.0
X5,12,0.5410461538461538,0.09112365744824756,0.43423734218449517,0.13504057142360937,0.01,0.019058324273442895,0.0
X5,13,0.527076923076923,0.0951498351247145,0.45798644753960605,0.13546503158923004,0.01,0.01647595588747852,0.0
X5,14,0.5390153846153848,0.09136610017044085,0.4446008525132686,0.13767897514222407,0.0,0.018294419491852953,0.0
X5,15,0.531123076923077,0.08971667567119906,0.47026990486851017,0.14003375402107465,0.0,0.013321049386048167,0.0
X6,1,0.5335846153846154,0.09170083981986556,0.5287475095147333,0.22949550484920564,0.01,0.016100169942064535,0.0
X6,2,0.4880615384615385,0.06915110630321528,0.21873102198054434,0.27658609530356854,0.0,0.00023377266847790512,0.0
X6,3,0.5344615384615384,0.10223212941156838,0.49027686477602006,0.26431899767034184,0.01,0.027893818727152242,0.0
X6,4,0.5168,0.08635023769681158,0.3329895444594965,0.30039355523888456,0.0,0.006774283996835995,0.0
X6,5,0.5453230769230769,0.09266812196436468,0.5140203541915597,0.2396091982371371,0.02,0.023137013021030106,0.0
X6,6,0.5155846153846153,0.08565063342391088,0.37338840476455004,0.27672334459947856,0.01,0.006150811052413885,0.0
X6,7,0.5506,0.08732145469301425,0.5388937763703661,0.21658105833901095,0.01,0.01996472947608985,0.0
X6,8,0.5361692307692307,0.08783806914164577,0.46979407944932866,0.2568088309373226,0.0,0.013668108736017426,0.0
X6,9,0.5654307692307691,0.09334023910772027,0.5953675946265222,0.1743609361851565,0.02,0.03894085946510284,0.0
X6,10,0.5476,0.09088722968992982,0.5510584631337556,0.19552901736166897,0.01,0.02238108239139236,0.0
X6,11,0.5715230769230769,0.082697851692509,0.6225782752994504,0.14837254121809257,0.0,0.027661130117985766,0.0
X6,12,0.5615692307692308,0.08269655946135583,0.5986581036626548,0.15834874752025896,0.0,0.020838428540085774,0.0
X6,13,0.5849076923076924,0.08170337314598433,0.665870750756817,0.10729741382683651,0.02,0.03787945511399449,0.0
X6,14,0.5701384615384616,0.08128351871198233,0.6370993650604764,0.13096710660204255,0.01,0.024608022015074726,0.0
X6,15,0.5868923076923077,0.08268324959333426,0.67260560163436,0.10515069763494538,0.03,0.04174423462055399,0.0
mean,1,0.5720461538461539,0.08720948186872028,0.6057744051421294,0.10821701978810046,0.0,0.03505492019450118,0.0
mean,2,0.5667230769230769,0.08315684332462349,0.48915751210703073,0.15549536449232343,0.02,0.024795126291333736,0.0
mean,3,0.5682,0.09261335418167872,0.5698736374618474,0.12358547974701446,0.04,0.04031448291162698,0.0
mean,4,0.5641846153846154,0.0819201747409379,0.5103760899799559,0.1309989421669518,0.01,0.021479455312865325,0.0
mean,5,0.5542461538461538,0.08200638451115691,0.5648467037060668,0.10614487171836554,0.01,0.016049615967525188,0.0
mean,6,0.5593692307692308,0.08240126815821974,0.5173143799214972,0.11982731663249542,0.02,0.019192022501807626,0.0
mean,7,0.5502615384615385,0.08547508858861025,0.5727307624547517,0.09874200071210644,0.02,0.01774088869875512,0.0
mean,8,0.5538,0.08958007359786448,0.5292281407798795,0.1165994889289729,0.02,0.02459418249854306,0.0
mean,9,0.5494307692307693,0.09314864496691082,0.5721039842649198,0.10799307647050607,0.01,0.026280744311437343,0.0
mean,10,0.5553846153846154,0.09004035912961114,0.5408916885408989,0.11327378422472523,0.02,0.026232330954326755,0.0
mean,11,0.5355076923076922,0.09546043636629054,0.5718166225875531,0.1100482573610433,0.0,0.02080434992089719,0.0
mean,12,0.5468769230769231,0.0913500206469016,0.5455109111672877,0.11230047035758076,0.02,0.02250125870089259,0.0
mean,13,0.5274923076923077,0.08397933107221847,0.5612803021987368,0.10538016865457257,0.0,0.007945721823701013,0.0
mean,14,0.5421692307692308,0.08604143628157568,0.5437777720469551,0.10895274217989873,0.04,0.014516914841132267,0.0
mean,15,0.5307384615384616,0.09039688427368796,0.572874893226259,0.11096422559324111,0.02,0.013751748363932559,0.0
F_w_mean,1,0.5677846153846154,0.09036305995012728,0.6109294001853488,0.09139757734092989,0.03,0.036314780912736544,0.0
F_w_mean,2,0.5426923076923077,0.0880990230923277,0.47939386049389066,0.13439719726180427,0.01,0.016747297209126266,0.0
F_w_mean,3,0.5831692307692308,0.09767009317386625,0.6234877555755355,0.10021435417700894,0.05,0.06637647180710693,0.0
F_w_mean,4,0.5778153846153846,0.09858242098777373,0.561405299493048,0.12188139981979375,0.08,0.06132690889897152,0.0
F_w_mean,5,0.5882153846153846,0.10034619836659095,0.6319566644148068,0.09905384121569916,0.08,0.0788345472640809,0.0
F_w_mean,6,0.5695846153846155,0.09537241981589051,0.5649366385815568,0.11206995068256084,0.04,0.04628546250665,0.0
F_w_mean,7,0.5671538461538462,0.09353627907372937,0.612030007150883,0.0908855015259168,0.04,0.04084226527869439,0.0
F_w_mean,8,0.5715384615384616,0.10511430802454673,0.5730708158718962,0.12041011202392381,0.05,0.0658391774803303,0.0
F_w_mean,9,0.5702923076923077,0.10207566401171217,0.6113735121592918,0.10513500529339054,0.06,0.058838239876550236,0.0
F_w_mean,10,0.5746,0.10357959978260324,0.5735343099396613,0.12126331678815094,0.07,0.06676894660679711,0.0
F_w_mean,11,0.5707846153846154,0.09716319341111712,0.6113681125312129,0.09940143901391847,0.07,0.050644246952893934,0.0
F_w_mean,12,0.5850615384615385,0.09622613774748945,0.5839257542523238,0.1140456717108196,0.06,0.06600438224607341,0.0
F_w_mean,13,0.5834615384615385,0.09156609149912447,0.6181633109627584,0.09766515439816932,0.06,0.05475967273720095,0.0
F_w_mean,14,0.5857846153846153,0.09781279547472244,0.5894256339579811,0.11796385556564766,0.09,0.07018668854729149,0.0
F_w_mean,15,0.5755384615384614,0.09347150943963126,0.6118287897945671,0.1024305666274823,0.05,0.049216475177990215,0.0
above_3,1,0.46210769230769233,0.06701608214654294,0.22693951896017392,0.287392787702982,0.0,3.201653449713682e-05,0.0
above_3,2,0.4562307692307692,0.03462418691502556,0.07148865907983022,0.18413736198867453,0.0,1.3322676295501878e-15,0.0
above_3,3,0.4879076923076924,0.07915740292524649,0.2657399567148794,0.3093655598707693,0.01,0.0011127380199229542,0.0
above_3,4,0.4610461538461538,0.0436440036345709,0.06744352919255589,0.1904990990239279,0.0,3.5814717858073664e-10,0.0
above_3,5,0.4746,0.06684699300172582,0.18113430009546608,0.2817710493329457,0.0,6.65460297135656e-05,0.0
above_3,6,0.46190769230769235,0.04753080346582108,0.07232377527813634,0.20045739081997754,0.0,8.483231006550795e-09,0.0
above_3,7,0.47141538461538457,0.06250971238145185,0.14778722155040613,0.268788865720786,0.0,1.761596849769731e-05,0.0
above_3,8,0.4555076923076923,0.03317065788281411,0.03867359873242226,0.14564194834546632,0.0,1.1102230246251565e-16,0.0
above_3,9,0.4631076923076922,0.054379764771172436,0.0917019282460459,0.22364654747806836,0.0,4.6020359112386444e-07,0.0
above_3,10,0.4555076923076923,0.03317065788281411,0.03279124579124579,0.13480263700603654,0.0,1.1102230246251565e-16,0.0
above_3,11,0.4590153846153846,0.040665772939382276,0.07001396230731931,0.194134324284348,0.0,1.3350653915722432e-11,0.0
above_3,12,0.4519076923076923,0.021885792857332876,0.02463973063973064,0.11079788909236375,0.0,0.0,0.0
above_3,13,0.46027692307692303,0.045584373944686285,0.0787340456582343,0.20344462268498284,0.0,1.6392599500036908e-09,0.0
above_3,14,0.4515076923076923,0.021733708446563752,0.02530512016718913,0.11366856369357187,0.0,0.0,0.0
above_3,15,0.45470769230769237,0.04045324278807579,0.07003357972226158,0.18605363418128185,0.0,5.0455195577114864e-12,0.0
above_4,1,0.5709846153846153,0.08749965883280911,0.6009959603472932,0.14561866692164227,0.03,0.034583623381186146,0.0
above_4,2,0.5410923076923078,0.09259986964347286,0.4637597469610181,0.19859011381608613,0.0,0.020673034225316522,0.0
above_4,3,0.5719846153846153,0.09200933706156607,0.5782067989738829,0.15067137580619283,0.05,0.042954495432940054,0.0
